name,linkedin_url,primary_role,company,location,niche_tags,credentials_claimed,credentials_verified_or_signal,evidence_links,fit_score,fit_notes,why_selected,confidence,status
Hal M. Bundrick,https://www.linkedin.com/in/halmbundrick/,"Hal M. Bundrick, CFP - Senior Writer Yahoo Finance previously NerdWallet",,US,personal_finance,CFP,CFP in snippet; media=cnbc_reuters,https://www.linkedin.com/in/halmbundrick/,76,"citability=20, credentials=18, google_entity=7, location=5, native_english=4, experience_years=8, linkedin_activity=6, associations=8",Credentials: CFP; Cited in major financial media; Location: US; High fit (76),high,shortlisted
Andrea Coombes,https://www.linkedin.com/in/acoombes/,"Andrea Coombes, CFP - Personal Finance Editor Writer MarketWatch experience",,US,personal_finance,CFP,CFP in snippet; media=cnbc_reuters,https://www.linkedin.com/in/acoombes/,72,"citability=20, credentials=18, google_entity=7, location=5, native_english=4, experience_years=4, linkedin_activity=6, associations=8",Credentials: CFP; Cited in major financial media; Location: US; High fit (72),high,shortlisted
Sean Pyles,https://www.linkedin.com/in/seanloranpyles/,"Sean Pyles, CFP - Senior podcast producer NerdWallet Portland",,US,personal_finance,CFP,CFP in snippet; media=niche_finance_media,https://www.linkedin.com/in/seanloranpyles/,64,"citability=15, credentials=18, location=5, native_english=4, experience_years=8, linkedin_activity=6, associations=8",Credentials: CFP; Cited in niche financial media; Location: US,medium,shortlisted
Kelly Anne Smith,https://www.linkedin.com/in/kelly-anne-smith/,Kelly Anne Smith - Lead Editor Forbes reported for Bankrate,,US,personal_finance,,media=bloomberg_wsj_forbes,https://www.linkedin.com/in/kelly-anne-smith/,52,"citability=25, google_entity=7, location=5, native_english=1, experience_years=8, linkedin_activity=6",Cited in major financial media; Location: US,medium,shortlisted
Liz Weston,https://www.linkedin.com/in/lizweston/,"Liz Weston, CFP - Los Angeles Weston Studios LLC",,US,personal_finance,CFP,CFP in snippet; media=none,https://www.linkedin.com/in/lizweston/,42,"credentials=18, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=8",Credentials: CFP; Location: US,low,shortlisted
Dan Johnson,https://www.linkedin.com/in/danjohnsonbirchcreek/,"Dan Johnson, CFP - Birchcreek Wealth Management",,US,personal_finance,CFP,CFP in snippet; media=none,https://www.linkedin.com/in/danjohnsonbirchcreek/,42,"credentials=18, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=8",Credentials: CFP; Location: US,low,shortlisted
Emma Muhvich,https://www.linkedin.com/in/emma-muhvich,"Emma Muhvich, CFP - Certified Financial Planner",,US,personal_finance,CFP,CFP in snippet; media=none,https://www.linkedin.com/in/emma-muhvich,42,"credentials=18, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=8",Credentials: CFP; Location: US,low,shortlisted
Susannah Snider,https://www.linkedin.com/in/susannah-snider-cfp%C2%AE-53699817/,"Susannah Snider, CFP - U.S. News World Report",,US,personal_finance,CFP,CFP in snippet; media=none,https://www.linkedin.com/in/susannah-snider-cfp%C2%AE-53699817/,42,"credentials=18, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=8",Credentials: CFP; Location: US,low,shortlisted
Linda Bell,https://www.linkedin.com/in/lindanbell/,Linda Bell - Senior Writer Home Lending Expert Bankrate New York,,US,personal_finance,,media=niche_finance_media,https://www.linkedin.com/in/lindanbell/,35,"citability=15, location=5, native_english=1, experience_years=8, linkedin_activity=6",Cited in niche financial media; Location: US,low,shortlisted
Chris Hutchison,https://www.linkedin.com/in/chrisjhutch/,Chris Hutchison - Portland Oregon,,US,personal_finance,,media=none,https://www.linkedin.com/in/chrisjhutch/,13,"location=5, native_english=1, experience_years=4, linkedin_activity=3",Location: US,low,shortlisted
