name,linkedin_url,primary_role,company,location,niche_tags,credentials_claimed,credentials_verified_or_signal,evidence_links,fit_score,fit_notes,why_selected,confidence,status
Christopher Vecchio,https://www.linkedin.com/in/christophertvecchio/,"Christopher Vecchio, CFA - Head of Futures & FX, thorough understanding of the F",,US,forex,CFA,CFA in snippet; media=none,https://www.linkedin.com/in/christophertvecchio/,53,"credentials=20, google_entity=3, location=5, native_english=4, experience_years=8, linkedin_activity=3, associations=10",Credentials: CFA; Location: US,medium,candidate
Paul Christopher,https://www.linkedin.com/in/pgchristopher/,"Paul Christopher, CFA - Managing Director Head of Global Market Strategy at Well",Wells Fargo,US,forex,CFA,CFA in snippet; media=none,https://www.linkedin.com/in/pgchristopher/,53,"credentials=20, google_entity=3, location=5, native_english=4, experience_years=8, linkedin_activity=3, associations=10",Credentials: CFA; Location: US,medium,candidate
Mohammad H. Ali,https://www.linkedin.com/in/mohammad-h-ali-cfa-340751a/,"Mohammad H. Ali, CFA - Capital Markets Consulting FX Derivatives Swaps Former He",,US,forex,CFA,CFA in snippet; media=none,https://www.linkedin.com/in/mohammad-h-ali-cfa-340751a/,53,"credentials=20, google_entity=3, location=5, native_english=4, experience_years=8, linkedin_activity=3, associations=10",Credentials: CFA; Location: US,medium,candidate
Joe Hoffman,https://www.linkedin.com/in/joe-hoffman-cfa-29702a7/,"Joe Hoffman, CFA, based in Seattle with connections to Foreign Exchange Professi",,US,forex,CFA,CFA in snippet; media=none,https://www.linkedin.com/in/joe-hoffman-cfa-29702a7/,49,"credentials=20, google_entity=3, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=10",Credentials: CFA; Location: US,low,candidate
John Jagerson,https://www.linkedin.com/in/johnjagerson/,"John Jagerson, CFA, CMT with expertise in forex",,US,forex,"CFA, CMT","CFA, CMT in snippet; media=none",https://www.linkedin.com/in/johnjagerson/,46,"credentials=20, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=10","Credentials: CFA, CMT; Location: US",low,candidate
Rene Cueto,https://www.linkedin.com/in/rene-cueto-cfa/,"Rene Cueto, CFA - Macro LATAM FX Trading based in New York",Macro LATAM FX Trading,US,forex,CFA,CFA in snippet; media=none,https://www.linkedin.com/in/rene-cueto-cfa/,46,"credentials=20, location=5, native_english=4, experience_years=4, linkedin_activity=3, associations=10",Credentials: CFA; Location: US,low,candidate
Jeff Schorer,https://www.linkedin.com/in/jeff-schorer-20567310b/,"Jeff Schorer - Executive Director, FX Trading at Wells Fargo",Wells Fargo,US,forex,,media=none,https://www.linkedin.com/in/jeff-schorer-20567310b/,17,"location=5, native_english=1, experience_years=8, linkedin_activity=3",Location: US,low,candidate
Richard Krivo,https://www.linkedin.com/in/richard-krivo-2abb9189/,Richard Krivo - FX Trader and Mentor,FX Trader and Mentor,US,forex,,media=none,https://www.linkedin.com/in/richard-krivo-2abb9189/,13,"location=5, native_english=1, experience_years=4, linkedin_activity=3",Location: US,low,candidate
Tiger Berry,https://www.linkedin.com/in/tigerberry/,Tiger Berry - Forex Trader Fundamental Sentimental and Technical Analyst,,US,forex,,media=none,https://www.linkedin.com/in/tigerberry/,13,"location=5, native_english=1, experience_years=4, linkedin_activity=3",Location: US,low,candidate
Charlotte S. Parnell,https://www.linkedin.com/in/charlotte-s-parnell-30bab75a/,Charlotte S. Parnell - QUALITY TRUST MARKETS,QUALITY TRUST MARKETS,US,forex,,media=none,https://www.linkedin.com/in/charlotte-s-parnell-30bab75a/,13,"location=5, native_english=1, experience_years=4, linkedin_activity=3",Location: US,low,candidate
