name,linkedin_url,primary_role,company,location,niche_tags,credentials_claimed,credentials_verified_or_signal,evidence_links,fit_score,fit_notes,why_selected,confidence,status
"Nik Bhatia, CFA, CMT",https://www.linkedin.com/in/nik-bhatia-cfa-cmt-b549b858/,Author & Adjunct Professor of Finance,The Bitcoin Layer,US,"crypto, bitcoin, fixed income","CFA, CMT","CFA+CMT in title, published author (Layered Money), USC professor",https://www.linkedin.com/in/nik-bhatia-cfa-cmt-b549b858/,96,"citability=25, credentials=20, google_entity=15, location=5, native_english=5, experience_years=8, linkedin_activity=8, associations=10","Credentials: CFA, CMT; Cited in major financial media; Location: US; High fit score (96)",high,candidate
"Liz Weston, CFP",https://www.linkedin.com/in/lizweston/,Personal Finance Columnist,Weston Studios (ex-NerdWallet),US,"personal finance, credit, debt",CFP,"CFP in title, NerdWallet columnist, AP syndicated",https://www.linkedin.com/in/lizweston/,92,"citability=25, credentials=18, google_entity=15, location=5, native_english=5, experience_years=10, linkedin_activity=6, associations=8",Credentials: CFP; Cited in major financial media; Location: US; High fit score (92),high,candidate
"Sam Ro, CFA",https://www.linkedin.com/in/sammyro/,Founder & Editor,TKer (Substack),US,"stocks, macro, personal finance",CFA,"CFA in title, Forbes contributor, Yahoo Finance alum",https://www.linkedin.com/in/sammyro/,88,"citability=25, credentials=20, google_entity=7, location=5, native_english=5, experience_years=8, linkedin_activity=8, associations=10",Credentials: CFA; Cited in major financial media; Location: US; High fit score (88),high,candidate
"Ye Xie, CFA",https://www.linkedin.com/in/ye-xie-cfa-66783714/,Chief FX Strategist,BMO Capital Markets,US,"forex, FX, macro",CFA,"CFA in LinkedIn title, Bloomberg bylines",https://www.linkedin.com/in/ye-xie-cfa-66783714/,85,"citability=25, credentials=20, google_entity=7, location=5, native_english=4, experience_years=8, linkedin_activity=6, associations=10",Credentials: CFA; Cited in major financial media; Location: US; High fit score (85),high,candidate
"Hal M. Bundrick, CFP",https://www.linkedin.com/in/halmbundrick/,Senior Writer,Yahoo Finance (ex-NerdWallet),US,"personal finance, banking, credit",CFP,"CFP in title, NerdWallet + Yahoo Finance bylines",https://www.linkedin.com/in/halmbundrick/,84,"citability=25, credentials=18, google_entity=7, location=5, native_english=5, experience_years=10, linkedin_activity=6, associations=8",Credentials: CFP; Cited in major financial media; Location: US; High fit score (84),high,candidate
"Marta Norton, CFA",https://www.linkedin.com/in/martaknorton/,Chief Investment Strategist,Empower,US,"investment, macro, retirement",CFA,"CFA in title, frequent media quotes",https://www.linkedin.com/in/martaknorton/,83,"citability=20, credentials=20, google_entity=7, location=5, native_english=5, experience_years=10, linkedin_activity=6, associations=10",Credentials: CFA; Cited in major financial media; Location: US; High fit score (83),high,candidate
"Tom Garretson, CFA",https://www.linkedin.com/in/tom-garretson-cfa-3774488/,Fixed Income Portfolio Strategist,RBC Wealth Management,US,"fixed income, bonds, macro",CFA,"CFA in title, Bloomberg media appearances",https://www.linkedin.com/in/tom-garretson-cfa-3774488/,82,"citability=25, credentials=20, google_entity=3, location=5, native_english=5, experience_years=8, linkedin_activity=6, associations=10",Credentials: CFA; Cited in major financial media; Location: US; High fit score (82),high,candidate
"Vincent G. Piazza, CFA",https://www.linkedin.com/in/vpiazzabloombergintelligence/,Senior Energy Equity Analyst,Bloomberg Intelligence,US,"stocks, energy, equity research",CFA,"CFA in title, Bloomberg Intelligence analyst",https://www.linkedin.com/in/vpiazzabloombergintelligence/,81,"citability=25, credentials=20, google_entity=3, location=5, native_english=5, experience_years=10, linkedin_activity=3, associations=10",Credentials: CFA; Cited in major financial media; Location: US; High fit score (81),high,candidate
"Bud Haslett, CFA, FRM",https://www.linkedin.com/in/budhaslett,Digital Assets Specialist,FOMO-FUD Digital Assets,US,"crypto, risk management, digital assets","CFA, FRM","CFA+FRM in title, ex-CFA Institute staff",https://www.linkedin.com/in/budhaslett,74,"citability=15, credentials=20, google_entity=3, location=5, native_english=5, experience_years=10, linkedin_activity=6, associations=10","Credentials: CFA, FRM; Cited in niche financial media; Location: US; High fit score (74)",high,candidate
"Kirk David Phillips, CPA",https://www.linkedin.com/in/kirk-phillips-cpa/,Crypto Tax & Accounting Expert,Crypto Bullseye Zone,US,"crypto, tax, accounting","CPA, CMA, CFE","CPA in title, multiple accounting certs, published author",https://www.linkedin.com/in/kirk-phillips-cpa/,72,"citability=15, credentials=16, google_entity=7, location=5, native_english=5, experience_years=10, linkedin_activity=6, associations=8","Credentials: CPA, CMA, CFE; Cited in niche financial media; Location: US; High fit score (72)",high,candidate
